1000, 5796, 1, 0
2000, 2624, 1, 0
3000, 4608, 1, 0
4001, 2529, 1, 0
5000, 2944, 1, 0
6000, 4772, 1, 0
7000, 2944, 1, 0
8000, 4836, 1, 0
9000, 1984, 1, 0
10000, 5156, 1, 0
11000, 2560, 1, 0
12000, 4288, 1, 0
13000, 3428, 1, 0
14000, 2304, 1, 0
15000, 4772, 1, 0
16000, 2944, 1, 0
17000, 4836, 1, 0
18000, 2944, 1, 0
19000, 4324, 1, 0
20000, 2752, 1, 0
21000, 4672, 1, 0
22000, 3044, 1, 0
23000, 3648, 1, 0
24000, 3428, 1, 0
25000, 2944, 1, 0
26000, 4836, 1, 0
27000, 2944, 1, 0
28000, 5476, 1, 0
29000, 1957, 1, 0
30000, 3867, 1, 0
31000, 3172, 1, 0
32000, 3200, 1, 0
33001, 4511, 1, 0
34000, 2240, 1, 0
35000, 4836, 1, 0
36000, 2944, 1, 0
37000, 5412, 1, 0
38000, 2944, 1, 0
39000, 4260, 1, 0
40000, 2944, 1, 0
41000, 4964, 1, 0
42000, 2816, 1, 0
43000, 2880, 1, 0
44000, 3556, 1, 0
45000, 2880, 1, 0
46000, 4708, 1, 0
47000, 2944, 1, 0
48000, 4772, 1, 0
49000, 2752, 1, 0
50000, 5092, 1, 0
51000, 2624, 1, 0
52000, 4544, 1, 0
53000, 3172, 1, 0
54000, 3456, 1, 0
55000, 3556, 1, 0
56000, 2944, 1, 0
57000, 4836, 1, 0
58000, 2944, 1, 0
59000, 4772, 1, 0
60000, 2368, 1, 0
61000, 4876, 1, 0
62000, 2840, 1, 0
63000, 3932, 1, 0
64000, 3784, 1, 0
65000, 2304, 1, 0
66000, 4836, 1, 0
67000, 2880, 1, 0
68000, 5540, 1, 0
69000, 2944, 1, 0
70000, 3812, 1, 0
71000, 2944, 1, 0
72000, 5092, 1, 0
73000, 2752, 1, 0
74000, 4672, 1, 0
75000, 2404, 1, 0
76000, 3008, 1, 0
77000, 4708, 1, 0
78000, 2944, 1, 0
79000, 4900, 1, 0
80000, 2240, 1, 0
81000, 5476, 1, 0
82000, 2944, 1, 0
83000, 4836, 1, 0
84000, 2944, 1, 0
85000, 4772, 1, 0
86000, 2304, 1, 0
87000, 3583, 1, 0
88000, 4197, 1, 0
89000, 2944, 1, 0
90000, 4260, 1, 0
91000, 2496, 1, 0
92000, 4772, 1, 0
93000, 2880, 1, 0
94000, 4964, 1, 0
95000, 2816, 1, 0
96000, 2304, 1, 0
97000, 4772, 1, 0
98000, 4736, 1, 0
99000, 3620, 1, 0
100000, 3222, 1, 0
101000, 3982, 1, 0
102000, 2944, 1, 0
