7C	6C9501
LS	6C9531
G8	6C9531
GC	6C9501
GM	6C9522
JC	6C9501
J8	6C9531
GG	6C9531
GD	6C9501
L4	6C9531
W8	6C9531
WM	6C9522
WC	6C9501
BS	6C9531
7S	6C9531
GS	6C9531
78  6C9531
F8	6C9531
FG	6C9531
FJ	6C9531
FS	6C9531
FM	6C9522
FC	6C9501
FD	6C9501
3M	6C9522
3J	6C9531
38	6C9531
3C	6C9501
3S  6C9531
A8  6C9531
AC  6C9501
2C  6C9501
28  6C9531
C1  6C9501
C2  6C9531
CE  6C9501
CF  6C9531
CR	6C9543
CS	6C9543
CT	6C9543
E9  6C9543
CX  6C9531
CY  6C9531
